"Story","Title","Result","Date","Stability","Duration (s)"
"ScenarioBasedTest","Test scenario3 login and transfer","SUCCESS","2026-05-19T12:41:59.9452963+03:00[Europe/Bucharest]","0.0","1.35"
"ScenarioBasedTest","Test scenario5 login add multiple accounts logout","SUCCESS","2026-05-19T12:42:01.5067291+03:00[Europe/Bucharest]","0.0","1.54"
"ScenarioBasedTest","Test scenario6 login multiple transfers logout","SUCCESS","2026-05-19T12:42:03.051646+03:00[Europe/Bucharest]","0.0","1.3"
"ScenarioBasedTest","Test scenario7 complex workflow","SUCCESS","2026-05-19T12:42:05.7415586+03:00[Europe/Bucharest]","0.0","1.22"
