"Story","Title","Result","Date","Stability","Duration (s)"
"ScenarioBasedTest","Test scenario3 login and transfer","SUCCESS","2026-05-19T12:41:59.9452963+03:00[Europe/Bucharest]","0.0","1.35"
"ScenarioBasedTest","Test scenario1 login valid","SUCCESS","2026-05-19T12:42:01.3018184+03:00[Europe/Bucharest]","0.0","0.2"
"ScenarioBasedTest","Test scenario5 login add multiple accounts logout","SUCCESS","2026-05-19T12:42:01.5067291+03:00[Europe/Bucharest]","0.0","1.54"
"ScenarioBasedTest","Test scenario6 login multiple transfers logout","SUCCESS","2026-05-19T12:42:03.051646+03:00[Europe/Bucharest]","0.0","1.3"
"ScenarioBasedTest","Test scenario4 complete workflow","SUCCESS","2026-05-19T12:42:04.3504982+03:00[Europe/Bucharest]","0.0","0.89"
"ScenarioBasedTest","Test scenario2 login and add account","SUCCESS","2026-05-19T12:42:05.2454224+03:00[Europe/Bucharest]","0.0","0.49"
"ScenarioBasedTest","Test scenario7 complex workflow","SUCCESS","2026-05-19T12:42:05.7415586+03:00[Europe/Bucharest]","0.0","1.22"
